1,2,14
2,3,20
3,4,14
4,5,11
5,6,12
6,7,1
7,8,4
8,9,12
9,10,16
10,11,10
11,12,19
12,13,20
13,14,1
14,15,5
15,16,13
16,17,8
17,18,19
18,19,9
19,20,6
20,21,15
21,22,6
22,23,20
23,24,11
24,25,9
25,26,3
26,27,1
27,28,19
28,29,12
29,30,15
30,31,17
31,32,14
32,33,17
33,34,7
34,35,13
35,36,15
36,37,8
37,38,13
38,39,4
39,40,7
40,41,15
41,42,3
42,43,13
43,44,9
44,45,19
45,46,10
46,47,1
47,48,5
48,49,5
49,50,18
50,51,5
51,52,4
52,53,13
53,54,4
54,55,8
55,56,18
56,57,1
57,58,18
58,59,5
59,60,13
60,61,18
61,62,4
62,63,12
63,64,3
64,65,18
65,66,3
66,67,3
67,68,17
68,69,3
69,70,13
70,71,19
71,72,7
72,73,10
73,74,12
74,75,1
75,76,17
76,77,6
77,78,8
78,79,11
79,80,6
80,81,18
81,82,1
82,83,14
83,84,5
84,85,13
85,86,6
86,87,1
87,88,5
88,89,6
89,90,15
90,91,19
91,92,12
92,93,16
93,94,5
94,95,2
95,96,10
96,97,11
97,98,7
98,99,18
99,100,4
