1,2,6
1,3,10
1,4,18
1,5,17
1,6,2
1,7,7
1,8,7
1,9,5
1,10,4
1,11,2
1,12,16
1,13,12
1,14,1
1,15,13
1,16,1
1,17,4
1,18,5
1,19,19
1,20,14
1,21,16
1,22,14
1,23,10
1,24,1
1,25,18
1,26,17
1,27,6
1,28,17
1,29,18
1,30,19
1,31,3
1,32,13
1,33,11
1,34,17
1,35,11
1,36,9
1,37,17
1,38,12
1,39,12
1,40,6
1,41,6
1,42,4
1,43,3
1,44,17
1,45,14
1,46,19
1,47,3
1,48,18
1,49,9
1,50,11
2,1,15
2,3,3
2,4,20
2,5,19
2,6,15
2,7,20
2,8,16
2,9,19
2,10,2
2,11,8
2,12,9
2,13,19
2,14,9
2,15,18
2,16,8
2,17,5
2,18,15
2,19,19
2,20,2
2,21,3
2,22,16
2,23,18
2,24,4
2,25,3
2,26,14
2,27,17
2,28,18
2,29,10
2,30,10
2,31,16
2,32,10
2,33,11
2,34,1
2,35,1
2,36,18
2,37,15
2,38,18
2,39,18
2,40,1
2,41,8
2,42,2
2,43,17
2,44,14
2,45,3
2,46,20
2,47,7
2,48,1
2,49,17
2,50,2
3,1,15
3,2,20
3,4,19
3,5,20
3,6,16
3,7,1
3,8,6
3,9,14
3,10,10
3,11,14
3,12,19
3,13,19
3,14,14
3,15,14
3,16,8
3,17,14
3,18,9
3,19,13
3,20,2
3,21,5
3,22,8
3,23,11
3,24,9
3,25,9
3,26,10
3,27,5
3,28,18
3,29,15
3,30,7
3,31,8
3,32,4
3,33,17
3,34,20
3,35,9
3,36,1
3,37,16
3,38,16
3,39,5
3,40,2
3,41,6
3,42,10
3,43,17
3,44,5
3,45,19
3,46,7
3,47,5
3,48,10
3,49,6
3,50,11
4,1,7
4,2,6
4,3,17
4,5,10
4,6,5
4,7,7
4,8,2
4,9,6
4,10,4
4,11,7
4,12,5
4,13,15
4,14,14
4,15,14
4,16,4
4,17,2
4,18,12
4,19,7
4,20,2
4,21,15
4,22,8
4,23,11
4,24,18
4,25,17
4,26,3
4,27,15
4,28,2
4,29,14
4,30,10
4,31,13
4,32,8
4,33,9
4,34,2
4,35,18
4,36,9
4,37,10
4,38,17
4,39,14
4,40,15
4,41,10
4,42,20
4,43,8
4,44,6
4,45,16
4,46,6
4,47,15
4,48,6
4,49,13
4,50,6
5,1,14
5,2,11
5,3,18
5,4,8
5,6,4
5,7,18
5,8,18
5,9,17
5,10,3
5,11,16
5,12,5
5,13,13
5,14,13
5,15,18
5,16,4
5,17,12
5,18,2
5,19,15
5,20,4
5,21,11
5,22,9
5,23,1
5,24,12
5,25,16
5,26,12
5,27,8
5,28,13
5,29,3
5,30,18
5,31,4
5,32,12
5,33,18
5,34,9
5,35,20
5,36,12
